epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4080.51,0.90428,0.63606,1.01781,0.84691,0.77689,0.82891,0.61409,0.95245,0.83808,1.12194,9.65545e-05,9.65545e-05,9.65545e-05
43,4177.74,0.9011,0.63287,1.01795,0.82296,0.79539,0.82587,0.60641,0.95488,0.83987,1.1234,9.4129e-05,9.4129e-05,9.4129e-05
44,4274.96,0.89934,0.62802,1.01643,0.84166,0.77777,0.82655,0.61651,0.94392,0.83107,1.11394,9.17035e-05,9.17035e-05,9.17035e-05
45,4371.33,0.89551,0.62361,1.01672,0.82978,0.79916,0.82329,0.61322,0.94189,0.82535,1.11773,8.9278e-05,8.9278e-05,8.9278e-05
46,4468.19,0.8926,0.6172,1.01334,0.85075,0.78893,0.82858,0.6205,0.92943,0.81296,1.11009,8.68525e-05,8.68525e-05,8.68525e-05
47,4564.7,0.88627,0.60944,1.01133,0.82873,0.80535,0.82982,0.62089,0.93328,0.81717,1.11297,8.4427e-05,8.4427e-05,8.4427e-05
48,4660.38,0.88357,0.61157,1.01133,0.82465,0.80039,0.82335,0.61531,0.93247,0.82652,1.11452,8.20015e-05,8.20015e-05,8.20015e-05
49,4756.31,0.88014,0.60568,1.01089,0.82936,0.80722,0.82554,0.61553,0.93985,0.8096,1.1183,7.9576e-05,7.9576e-05,7.9576e-05
50,4851.79,0.87688,0.6039,1.00845,0.84575,0.78724,0.82864,0.62105,0.93216,0.81128,1.11421,7.71505e-05,7.71505e-05,7.71505e-05
51,4947.8,0.87783,0.59963,1.00904,0.82954,0.80119,0.82874,0.62021,0.93024,0.81356,1.11293,7.4725e-05,7.4725e-05,7.4725e-05
52,5044.31,0.87609,0.60078,1.00531,0.83183,0.80162,0.8325,0.62286,0.93287,0.80115,1.11239,7.22995e-05,7.22995e-05,7.22995e-05
53,5140.55,0.8705,0.59698,1.00565,0.82179,0.80779,0.83335,0.62652,0.92473,0.8008,1.10836,6.9874e-05,6.9874e-05,6.9874e-05
54,5237.76,0.8676,0.59447,1.00376,0.82701,0.81133,0.83384,0.62854,0.92332,0.80906,1.10868,6.74485e-05,6.74485e-05,6.74485e-05
55,5334.91,0.86572,0.58501,1.00287,0.84447,0.79483,0.8344,0.62817,0.923,0.80022,1.10751,6.5023e-05,6.5023e-05,6.5023e-05
56,5432.42,0.86427,0.58897,1.00336,0.83027,0.80855,0.83129,0.62629,0.92369,0.79747,1.10995,6.25975e-05,6.25975e-05,6.25975e-05
57,5529.72,0.86194,0.58429,1.00283,0.83315,0.81337,0.83511,0.62773,0.92503,0.79602,1.10977,6.0172e-05,6.0172e-05,6.0172e-05
58,5626.64,0.85672,0.57973,1.00114,0.84179,0.79985,0.83376,0.6267,0.91779,0.79689,1.10526,5.77465e-05,5.77465e-05,5.77465e-05
59,5724.05,0.85775,0.57699,0.99918,0.84816,0.79641,0.83266,0.62758,0.91456,0.78769,1.1029,5.5321e-05,5.5321e-05,5.5321e-05
60,5821.64,0.85401,0.57473,0.99889,0.83879,0.81005,0.83434,0.63038,0.91538,0.78697,1.10329,5.28955e-05,5.28955e-05,5.28955e-05
61,5918.41,0.85545,0.58131,1.00222,0.83644,0.8118,0.83727,0.63432,0.90845,0.78091,1.10219,5.047e-05,5.047e-05,5.047e-05
62,6015.92,0.84747,0.5724,0.9959,0.83877,0.82249,0.83605,0.63206,0.91467,0.78367,1.10584,4.80445e-05,4.80445e-05,4.80445e-05
63,6113.57,0.84389,0.56407,0.99429,0.84587,0.80312,0.83912,0.63426,0.90782,0.78049,1.10062,4.5619e-05,4.5619e-05,4.5619e-05
64,6211.11,0.84792,0.56857,0.99497,0.84647,0.80689,0.83684,0.63374,0.90774,0.77887,1.10015,4.31935e-05,4.31935e-05,4.31935e-05
65,6308.93,0.84207,0.56312,0.99358,0.83427,0.81248,0.83435,0.63065,0.91322,0.78282,1.10313,4.0768e-05,4.0768e-05,4.0768e-05
66,6406.95,0.83903,0.55895,0.99191,0.83359,0.81552,0.8362,0.63255,0.91391,0.77912,1.10311,3.83425e-05,3.83425e-05,3.83425e-05
67,6503.95,0.8392,0.56198,0.99255,0.82805,0.82231,0.8346,0.63398,0.90969,0.77891,1.1011,3.5917e-05,3.5917e-05,3.5917e-05
68,6600.92,0.8336,0.55159,0.98937,0.85314,0.79628,0.83552,0.63552,0.90541,0.77877,1.09888,3.34915e-05,3.34915e-05,3.34915e-05
69,6697.66,0.8368,0.5555,0.99134,0.84239,0.81074,0.83591,0.63372,0.90957,0.77596,1.09971,3.1066e-05,3.1066e-05,3.1066e-05
70,6794.23,0.83512,0.55829,0.99099,0.83549,0.81773,0.83521,0.63363,0.90842,0.77635,1.10015,2.86405e-05,2.86405e-05,2.86405e-05
71,6889.2,0.78838,0.48176,0.99226,0.84152,0.80784,0.83329,0.63386,0.90712,0.78067,1.09952,2.6215e-05,2.6215e-05,2.6215e-05
72,6983.24,0.77418,0.47008,0.98684,0.84061,0.80789,0.8326,0.63443,0.90293,0.77639,1.0963,2.37895e-05,2.37895e-05,2.37895e-05
73,7077.64,0.76666,0.46088,0.98189,0.82451,0.81884,0.83093,0.6348,0.90115,0.7725,1.09579,2.1364e-05,2.1364e-05,2.1364e-05
74,7171.78,0.76278,0.4572,0.9806,0.83067,0.81913,0.83212,0.63628,0.89956,0.77479,1.09571,1.89385e-05,1.89385e-05,1.89385e-05
75,7266.27,0.75746,0.45363,0.9776,0.83831,0.81481,0.83132,0.63628,0.89791,0.7748,1.09507,1.6513e-05,1.6513e-05,1.6513e-05
76,7361.14,0.75657,0.45389,0.97842,0.83711,0.81441,0.83315,0.63702,0.89801,0.77089,1.09571,1.40875e-05,1.40875e-05,1.40875e-05
77,7455.6,0.75402,0.45331,0.97572,0.84062,0.81674,0.83392,0.63754,0.89769,0.77235,1.09551,1.1662e-05,1.1662e-05,1.1662e-05
78,7550.68,0.75002,0.44888,0.97756,0.84506,0.81137,0.83389,0.63815,0.89545,0.77077,1.09491,9.2365e-06,9.2365e-06,9.2365e-06
79,7645.9,0.75045,0.44707,0.9748,0.84572,0.81483,0.83395,0.63902,0.89457,0.77073,1.09414,6.811e-06,6.811e-06,6.811e-06
80,7740.13,0.74808,0.44469,0.97236,0.84943,0.81115,0.83504,0.63948,0.89475,0.77041,1.0938,4.3855e-06,4.3855e-06,4.3855e-06
